City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Suluktu,KG,2022-02-11 00:18:22,39.9337,69.57,27.88,44,100,7.92
261,Samarai,PG,2022-02-11 00:18:22,-10.6167,150.6667,84.2,55,86,11.59
262,Torrington,US,2022-02-11 00:18:23,41.8007,-73.1212,44.55,71,13,7.9
263,Muros,ES,2022-02-11 00:18:23,42.7762,-9.0603,52.3,92,96,8.23
264,Haukipudas,FI,2022-02-11 00:18:24,65.1765,25.3523,26.65,90,100,9.98
265,Klaksvik,FO,2022-02-11 00:09:12,62.2266,-6.589,34.72,73,92,23.02
266,Tangshan,CN,2022-02-11 00:18:24,39.6333,118.1833,33.12,51,57,5.01
267,Kavieng,PG,2022-02-11 00:18:25,-2.5744,150.7967,82.0,77,78,5.7
268,Port Blair,IN,2022-02-11 00:18:25,11.6667,92.75,75.24,94,40,1.14
269,Norman Wells,CA,2022-02-11 00:18:25,65.282,-126.8329,6.69,69,100,17.05
270,Half Moon Bay,US,2022-02-11 00:18:26,37.4636,-122.4286,78.98,40,0,12.66
271,Bangkalan,ID,2022-02-11 00:18:26,-7.0455,112.7351,78.75,89,100,4.7
272,Ugoofaaru,MV,2022-02-11 00:18:27,5.6667,73.0,81.28,75,68,10.83
273,Altamont,US,2022-02-11 00:19:27,42.2068,-121.7372,64.24,34,0,5.75
274,Pentecoste,BR,2022-02-11 00:19:28,-3.7928,-39.2703,81.68,85,83,3.83
275,Bukama,CD,2022-02-11 00:19:28,-9.2,25.85,68.36,99,100,1.52
276,Saint-Augustin,CA,2022-02-11 00:19:29,51.226,-58.6502,28.85,97,100,9.13
277,Rio Grande,BR,2022-02-11 00:19:29,-32.035,-52.0986,73.94,79,27,20.98
278,Kuito,AO,2022-02-11 00:19:29,-12.3833,16.9333,56.79,96,100,5.26
279,Avera,US,2022-02-11 00:19:30,33.194,-82.5271,60.67,45,34,3.49
280,Talcahuano,CL,2022-02-11 00:15:20,-36.7167,-73.1167,60.8,66,90,13.29
281,Beringovskiy,RU,2022-02-11 00:19:30,63.05,179.3167,-21.35,92,26,5.26
282,Grand Gaube,MU,2022-02-11 00:19:31,-20.0064,57.6608,75.6,81,1,5.01
283,Maningrida,AU,2022-02-11 00:19:31,-12.0667,134.2667,82.98,78,92,8.95
284,Mutare,ZW,2022-02-11 00:19:31,-18.9707,32.6709,62.62,95,97,2.75
285,Karratha,AU,2022-02-11 00:19:32,-20.7377,116.8463,86.09,68,14,14.38
286,San Patricio,US,2022-02-11 00:19:32,28.017,-97.5169,66.61,48,100,6.35
287,General Roca,AR,2022-02-11 00:19:33,-39.0333,-67.5833,77.4,19,46,18.68
288,Aklavik,CA,2022-02-11 00:19:33,68.2191,-135.0107,-13.97,69,40,0.0
289,Kurumkan,RU,2022-02-11 00:19:33,54.3,110.3,-16.33,90,82,4.63
290,Troitsko-Pechorsk,RU,2022-02-11 00:19:34,62.7084,56.1964,20.43,92,100,10.85
291,Verkhoshizhemye,RU,2022-02-11 00:19:34,58.011,49.1038,17.53,95,100,6.31
292,Shanghai,CN,2022-02-11 00:18:48,31.2222,121.4581,46.92,66,100,8.95
