City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Chama,CH,47.1821,8.4636,31.95,93,7,0.0,clear sky
332,Ketchikan,US,55.3422,-131.6461,39.18,87,100,6.91,overcast clouds
333,Saint-Georges,GD,12.0564,-61.7485,77.43,66,73,19.19,broken clouds
334,Hambantota,LK,6.1241,81.1185,82.74,89,20,10.36,few clouds
335,Riyadh,SA,24.6877,46.7219,55.54,38,84,14.12,broken clouds
336,Podor,MR,16.6527,-14.9587,71.55,33,52,2.3,broken clouds
337,Lata,PT,40.1629,-8.3327,50.92,96,100,1.01,overcast clouds
338,Barra Dos Coqueiros,BR,-10.9089,-37.0386,82.42,74,40,12.66,scattered clouds
339,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,40,5.75,light intensity shower rain
340,Kadoma,JP,34.7333,135.5833,51.66,40,75,3.44,broken clouds
341,Iskateley,RU,67.6803,53.1512,13.03,92,100,16.84,light snow
342,Vereshchagino,RU,58.0789,54.6557,14.58,97,100,3.4,snow
343,Mount Isa,AU,-20.7333,139.5,100.17,25,0,9.22,clear sky
344,Zeljezno Polje,BA,44.4083,17.9319,35.82,88,100,2.8,overcast clouds
